"geoid","datawrapper_id","geography","name","short_name","population","median_hh_income","poverty_rate_total","poverty_rate_deep","poverty_rate_notdeep","snap_rate_total","snap_rate_children","housing_owner_occupied","educ_hs_plus","educ_ba_plus","employment_rate_civilian","race_white","race_black","race_nhpi_amind","race_asian","race_other","race_twoplus","race_hispanic","foreign_born","has_health_insurance","homeless_count_year","homeless_count_age_25_54","homeless_count_age_55_plus","homeless_count_age_unknown","homeless_count_age_under_18","homeless_count_gender_nonconforming","homeless_count_hh_domestic_violence","homeless_count_location_shelter","homeless_count_location_publichotel","homeless_count_location_transitional","homeless_count_location_unsheltered","homeless_count_gender_male","homeless_count_chronic","homeless_count_total_adults","homeless_count_total_children","homeless_count_total_families","homeless_count_total_households","homeless_count_total_individuals","homeless_count_veterans","homeless_count_gender_transgender","homeless_count_gender_women","homeless_count_age_18_24"
"50005","005","county","Caledonia County, Vermont","Caledonia",30425,49348,12.3,5,7.3,15.3,19.6,72.2,90.9,28.1,96.3,94.9,0.9,0.2,0.6,0.1,1.7,1.6,2.2,94.8,2020,19,2,0,11,0,7,33,8,5,3,20,1,30,11,6,26,41,1,0,21,9
"50007","007","county","Chittenden County, Vermont","Chittenden",162052,69896,11.8,5.7,6,9.4,15.5,63,94.1,50.7,96.3,88.8,2.5,0.2,4.2,0.2,1.8,2.3,9,96.7,2020,149,38,3,33,2,35,200,66,16,45,145,49,224,33,22,217,261,6,2,112,34
"50009","009","county","Essex County, Vermont","Essex",6208,41045,14.6,5.1,9.5,16.2,25.8,80.2,85.8,15.6,95.5,95.4,1,0.3,0.6,0.1,1.3,1.3,3.5,95.4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50011","011","county","Franklin County, Vermont","Franklin",49025,64258,7.7,3.2,4.5,13.2,15.1,74.5,90.8,23.7,95.8,93.9,0.6,0.5,0.4,0.5,2.6,1.5,2.8,96.6,2020,24,4,0,14,1,2,47,26,4,2,30,3,39,14,9,35,53,2,0,22,11
"50013","013","county","Grand Isle County, Vermont","Grand Isle",6965,69583,7.6,3.5,4.1,7.7,14.9,82.4,94.3,39.2,95.3,92.9,0.8,0.4,0.5,0.1,3.3,1.9,4.2,96.9,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50015","015","county","Lamoille County, Vermont","Lamoille",25268,60365,14.5,7.3,7.2,12.7,22.8,72.5,92.6,37.3,95.9,94.7,0.9,0.8,0.6,0,1.2,1.8,3.1,94.2,2020,19,3,1,10,0,7,31,9,0,7,22,5,28,10,5,26,38,1,0,16,5
"50017","017","county","Orange County, Vermont","Orange",28937,60159,10.8,4.2,6.6,11.9,18.6,80.9,91.8,29.1,95.5,95.5,0.6,0.4,0.2,0.2,1.6,1.4,2.1,95.4,2020,11,11,0,1,0,1,3,3,17,3,19,1,22,1,0,21,23,15,0,4,0
"50019","019","county","Orleans County, Vermont","Orleans",26911,47915,14,4.8,9.1,15.7,19.6,77,87.6,21.6,95.5,95.3,0.4,0.5,0.2,0.1,2,1.4,4.2,95.8,2020,11,0,0,5,0,1,12,8,7,6,13,3,20,5,4,17,25,0,0,12,9
"50021","021","county","Rutland County, Vermont","Rutland",59273,54973,10.7,4,6.7,11.3,15.7,72.5,92.3,30.3,96.2,95.4,0.8,0.4,1,0.1,0.8,1.4,2.5,95.1,2020,68,20,1,28,0,17,115,86,9,2,66,18,98,28,17,95,126,12,0,62,9
"50023","023","county","Washington County, Vermont","Washington",58477,62108,11.4,5.2,6.2,11.9,19.3,70.8,93.4,41.5,96.5,94.3,0.8,0.3,0.8,0.1,1.9,1.9,2.8,96.9,2020,92,36,5,24,0,12,144,53,17,7,96,37,148,24,15,133,172,17,2,71,15
"50025","025","county","Windham County, Vermont","Windham",43150,52659,13.4,6,7.4,15.8,28.2,67.8,93.4,38.6,94.6,93.2,1.1,0.2,1.1,0,2,2.3,3.5,95.1,2020,59,9,1,18,1,6,83,27,10,4,51,30,79,18,9,78,97,6,2,48,10
"50027","027","county","Windsor County, Vermont","Windsor",55427,58303,10,4.8,5.2,11.6,15.2,73.2,93.2,36.3,95.9,94.7,0.7,0.2,0.8,0.2,1.8,1.6,3.3,95.3,2020,55,15,6,27,0,9,83,14,2,28,59,21,86,27,14,75,113,2,1,52,10
"50001960100","001960100","census tract","Census Tract 9601, Addison County, Vermont","Starksboro, Monkton",3928,78750,7,3.9,3.1,5.9,11.1,83.8,92.9,41.8,96.9,95,0.2,0,0.9,0.5,2.1,1.3,3.2,94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50001960200","001960200","census tract","Census Tract 9602, Addison County, Vermont","Ferrisburgh",2736,74958,3,0.6,2.3,7.1,12.5,79.5,95.1,38.1,95.6,97.6,0,0,0,0,1.1,1.3,2.8,94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50001960300","001960300","census tract","Census Tract 9603, Addison County, Vermont","Vergennes",2612,59464,9.9,4.8,5.1,13.2,16.2,61.3,93.9,27.7,95.6,98.1,0.2,0,0,0,0,1.7,2.7,97.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50001960400","001960400","census tract","Census Tract 9604, Addison County, Vermont","Panton, Addison, Weybridge, New Haven",5083,78672,4.3,2.1,2.2,5.2,5.8,83.6,93.6,37.3,95.9,96.4,0.2,0.4,0.6,0,1,1.4,4.1,96.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50001960500","001960500","census tract","Census Tract 9605, Addison County, Vermont","Bristol",3914,56066,8.1,6.4,1.8,15.7,26.3,69.7,90.3,27.9,95.4,95,2.1,0,2,0,0,0.9,1.7,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50001960600","001960600","census tract","Census Tract 9606, Addison County, Vermont","Lincoln, Ripton, Granville, Hancock, Goshen",2732,58343,10.4,3.5,7,11.3,15.3,79.7,91.2,39.8,96.3,94.3,0,0.8,0.7,0.5,2.4,1.3,1.5,94.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50001960700","001960700","census tract","Census Tract 9607, Addison County, Vermont","Middlebury East of Route 7",3750,53910,10.1,4.5,5.5,17.9,28.7,65,94.1,39.9,97.2,88.5,3.5,0,3,0,2.1,2.9,7.1,97.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50001960800","001960800","census tract","Census Tract 9608, Addison County, Vermont","Middlebury West of Route 7",4850,66713,10.8,4.2,6.6,8.4,11.2,43.7,91.9,48.2,91.3,80.2,2.7,0.2,7.8,0,2.8,6.3,10.4,97.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50001960900","001960900","census tract","Census Tract 9609, Addison County, Vermont","Cornwall, Shoreham, Bridport, Orwell, Whiting",5050,65515,8.3,3.7,4.6,7.8,13.8,80.6,93.3,36.8,96.7,92.5,1.2,0.7,1,0.3,1.6,2.7,5.9,93.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50001961000","001961000","census tract","Census Tract 9610, Addison County, Vermont","Salisbury, Leicster",2284,62763,8.3,4.1,4.2,9.1,20.1,85,92,28.7,96.4,96.4,0.4,0.6,0.4,0,1,1.2,2.3,95.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
